ID,Title,Command,Tags,Tags Command
6299800273071,Organic Blue Spirulina Powder,MERGE,"Category_Powder, Type_Superfood Blend",REPLACE
6299803254959,Organic Green Spirulina Powder,MERGE,"Caffeine_Light Caffeine, Category_Powder, Type_Superfood Blend",REPLACE
6912969310383,Organic Moringa Powder,MERGE,"Caffeine_Light Caffeine, Category_Powder, Type_Superfood Blend",REPLACE
6912974520495,Organic Cordyceps Powder,MERGE,"Caffeine_Light Caffeine, Category_Powder, Format_Powder, Organic, Type_Mushroom Powder",REPLACE
6912977731759,Organic Rhodiola Root Powder,MERGE,"Caffeine_Light Caffeine, Category_Powder, Type_Superfood Blend",REPLACE
6912979304623,Organic Reishi Mushroom Powder,MERGE,"Caffeine_Light Caffeine, Category_Powder, Format_Powder, Organic, Type_Mushroom Powder",REPLACE
6912980091055,Organic Lion's Mane Powder,MERGE,"Caffeine_Light Caffeine, Category_Powder, Format_Powder, Organic, Type_Mushroom Powder",REPLACE
6912980877487,Organic Maca Powder,MERGE,"Caffeine_Light Caffeine, Category_Powder, Type_Superfood Blend",REPLACE
6912984121519,Organic Theanine Powder,MERGE,"Caffeine_Light Caffeine, Category_Powder, Type_Superfood Blend",REPLACE
6912985465007,Organic Chaga Powder,MERGE,"Caffeine_Light Caffeine, Category_Powder, Type_Mushroom Powder",REPLACE
7131641086127,Organic Ashwagandha Root Powder,MERGE,"Caffeine_Light Caffeine, Category_Powder, Format_Powder, Organic, Type_Superfood Blend",REPLACE
