ID,Title,Command,Template Suffix
6299795914927,Organic Beetroot Powder,MERGE,powder
6299800273071,Organic Blue Spirulina Powder,MERGE,powder
6299803254959,Organic Green Spirulina Powder,MERGE,powder
6299806630063,Organic Ginger Powder,MERGE,powder
6299808071855,Organic Black Pepper Powder,MERGE,powder
6299809939631,Organic Cinnamon Powder,MERGE,powder
6299810824367,Organic Cardamom Powder,MERGE,powder
6299811905711,Organic Blueberry Powder,MERGE,powder
6299813773487,Organic Strawberry Powder,MERGE,powder
6299815116975,Conventional Coffee Cherry Powder,MERGE,powder
6299817672879,Organic Coconut Milk Powder,MERGE,powder
6299825242287,Organic Turmeric Powder,MERGE,powder
6299829305519,Organic Hemp Protein Powder,MERGE,powder
6912968261807,Organic Coconut Sugar,MERGE,powder
6912969310383,Organic Moringa Powder,MERGE,powder
6912969703599,Organic Pumpkin Powder,MERGE,powder
6912971931823,Organic Tart Cherries Powder,MERGE,powder
6912973242543,Organic Carob Powder,MERGE,powder
6912974520495,Organic Cordyceps Powder,MERGE,powder
6912976847023,Organic Molasses Powder,MERGE,powder
6912977731759,Organic Rhodiola Root Powder,MERGE,powder
6912979304623,Organic Reishi Mushroom Powder,MERGE,powder
6912980091055,Organic Lion's Mane Powder,MERGE,powder
6912980877487,Organic Maca Powder,MERGE,powder
6912981860527,Organic Date Powder,MERGE,powder
6912982188207,Organic Cocoa Powder,MERGE,powder
6912982319279,Organic Lucuma Powder,MERGE,powder
6912982941871,Organic Rosehips Powder,MERGE,powder
6912983728303,Organic Rose Petals Powder,MERGE,powder
6912984121519,Organic Theanine Powder,MERGE,powder
6912985006255,Organic Maple Sugar,MERGE,powder
6912985465007,Organic Chaga Powder,MERGE,powder
7131641086127,Organic Ashwagandha Root Powder,MERGE,powder
7131642953903,Organic Mesquite Powder,MERGE,powder
7131741225135,Organic Taro Powder,MERGE,powder
7598511816879,Pumpkin Spice Latte Powder,MERGE,powder
8616073494703,Coffee Cherry Powder,MERGE,powder
8616074084527,Organic Rhodiola Root Powder,MERGE,powder
